,TL,TM,TR,ML,MM,MR,BL,BM,BR,OUTCOME,TL_BR
115,x,o,x,x,o,o,x,x,o,positive,xo
116,x,o,x,x,o,o,x,b,b,positive,xb
117,x,o,x,x,o,b,x,b,o,positive,xo
118,x,o,x,x,b,o,x,o,b,positive,xb
119,x,o,x,x,b,o,x,b,o,positive,xo
120,x,o,x,x,b,b,x,o,o,positive,xo
121,x,o,x,o,x,x,x,o,o,positive,xo
122,x,o,x,o,x,x,o,o,x,positive,xx
123,x,o,x,o,x,o,x,x,o,positive,xo
124,x,o,x,o,x,o,x,o,x,positive,xx
125,x,o,x,o,x,o,x,b,b,positive,xb
126,x,o,x,o,x,o,o,x,x,positive,xx
127,x,o,x,o,x,o,b,b,x,positive,xx
128,x,o,x,o,x,b,x,o,b,positive,xb
129,x,o,x,o,x,b,x,b,o,positive,xo
130,x,o,x,o,x,b,o,b,x,positive,xx
131,x,o,x,o,x,b,b,o,x,positive,xx
132,x,o,x,o,o,x,o,x,x,positive,xx
133,x,o,x,o,o,x,b,b,x,positive,xx
134,x,o,x,o,b,x,o,b,x,positive,xx
135,x,o,x,o,b,x,b,o,x,positive,xx
136,x,o,x,b,x,o,x,o,b,positive,xb
137,x,o,x,b,x,o,x,b,o,positive,xo
138,x,o,x,b,x,o,o,b,x,positive,xx
139,x,o,x,b,x,o,b,o,x,positive,xx
140,x,o,x,b,x,b,x,o,o,positive,xo
141,x,o,x,b,x,b,o,o,x,positive,xx
142,x,o,x,b,o,x,o,b,x,positive,xx
143,x,o,x,b,b,x,o,o,x,positive,xx
144,x,o,o,x,x,x,x,o,o,positive,xo
145,x,o,o,x,x,x,o,x,o,positive,xo
146,x,o,o,x,x,x,o,o,x,positive,xx
147,x,o,o,x,x,x,o,b,b,positive,xb
148,x,o,o,x,x,x,b,o,b,positive,xb
149,x,o,o,x,x,x,b,b,o,positive,xo
150,x,o,o,x,x,o,x,o,x,positive,xx
151,x,o,o,x,x,o,x,b,b,positive,xb
152,x,o,o,x,x,o,o,x,x,positive,xx
153,x,o,o,x,x,o,b,b,x,positive,xx
154,x,o,o,x,x,b,x,o,b,positive,xb
155,x,o,o,x,x,b,x,b,o,positive,xo
156,x,o,o,x,x,b,o,b,x,positive,xx
157,x,o,o,x,x,b,b,o,x,positive,xx
158,x,o,o,x,o,x,x,x,o,positive,xo
159,x,o,o,x,o,x,x,b,b,positive,xb
160,x,o,o,x,o,o,x,x,x,positive,xx
161,x,o,o,x,o,b,x,x,b,positive,xb
162,x,o,o,x,o,b,x,b,x,positive,xx
163,x,o,o,x,b,x,x,o,b,positive,xb
164,x,o,o,x,b,x,x,b,o,positive,xo
165,x,o,o,x,b,o,x,x,b,positive,xb
166,x,o,o,x,b,o,x,b,x,positive,xx
167,x,o,o,x,b,b,x,x,o,positive,xo
168,x,o,o,x,b,b,x,o,x,positive,xx
169,x,o,o,x,b,b,x,b,b,positive,xb
170,x,o,o,o,x,x,x,o,x,positive,xx
171,x,o,o,o,x,x,o,x,x,positive,xx
172,x,o,o,o,x,x,b,b,x,positive,xx
173,x,o,o,o,x,o,x,x,x,positive,xx
174,x,o,o,o,x,b,x,b,x,positive,xx
175,x,o,o,o,x,b,b,x,x,positive,xx
176,x,o,o,o,o,x,x,x,x,positive,xx
177,x,o,o,o,b,b,x,x,x,positive,xx
178,x,o,o,b,x,x,o,b,x,positive,xx
179,x,o,o,b,x,x,b,o,x,positive,xx
180,x,o,o,b,x,o,x,b,x,positive,xx
181,x,o,o,b,x,o,b,x,x,positive,xx
182,x,o,o,b,x,b,x,o,x,positive,xx
183,x,o,o,b,x,b,o,x,x,positive,xx
184,x,o,o,b,x,b,b,b,x,positive,xx
185,x,o,o,b,o,b,x,x,x,positive,xx
186,x,o,o,b,b,o,x,x,x,positive,xx
187,x,o,b,x,x,x,o,o,b,positive,xb
188,x,o,b,x,x,x,o,b,o,positive,xo
189,x,o,b,x,x,x,b,o,o,positive,xo
190,x,o,b,x,x,o,x,o,b,positive,xb
191,x,o,b,x,x,o,x,b,o,positive,xo
192,x,o,b,x,x,o,o,b,x,positive,xx
193,x,o,b,x,x,o,b,o,x,positive,xx
194,x,o,b,x,x,b,x,o,o,positive,xo
195,x,o,b,x,x,b,o,o,x,positive,xx
196,x,o,b,x,o,x,x,b,o,positive,xo
197,x,o,b,x,o,o,x,x,b,positive,xb
198,x,o,b,x,o,o,x,b,x,positive,xx
199,x,o,b,x,o,b,x,x,o,positive,xo
200,x,o,b,x,o,b,x,b,b,positive,xb
201,x,o,b,x,b,x,x,o,o,positive,xo
202,x,o,b,x,b,o,x,x,o,positive,xo
203,x,o,b,x,b,o,x,o,x,positive,xx
204,x,o,b,x,b,o,x,b,b,positive,xb
205,x,o,b,x,b,b,x,o,b,positive,xb
206,x,o,b,x,b,b,x,b,o,positive,xo
207,x,o,b,o,x,x,o,b,x,positive,xx
208,x,o,b,o,x,x,b,o,x,positive,xx
209,x,o,b,o,x,o,x,b,x,positive,xx
210,x,o,b,o,x,o,b,x,x,positive,xx
211,x,o,b,o,x,b,x,o,x,positive,xx
212,x,o,b,o,x,b,o,x,x,positive,xx
213,x,o,b,o,x,b,b,b,x,positive,xx
214,x,o,b,o,o,b,x,x,x,positive,xx
215,x,o,b,o,b,o,x,x,x,positive,xx
216,x,o,b,b,x,x,o,o,x,positive,xx
217,x,o,b,b,x,o,x,o,x,positive,xx
218,x,o,b,b,x,o,o,x,x,positive,xx
219,x,o,b,b,x,o,b,b,x,positive,xx
220,x,o,b,b,x,b,o,b,x,positive,xx
221,x,o,b,b,x,b,b,o,x,positive,xx
222,x,o,b,b,o,o,x,x,x,positive,xx
223,x,b,x,x,o,o,x,o,b,positive,xb
224,x,b,x,x,o,o,x,b,o,positive,xo
225,x,b,x,x,o,b,x,o,o,positive,xo
226,x,b,x,x,b,o,x,o,o,positive,xo
227,x,b,x,o,x,o,x,o,b,positive,xb
228,x,b,x,o,x,o,x,b,o,positive,xo
229,x,b,x,o,x,o,o,b,x,positive,xx
230,x,b,x,o,x,o,b,o,x,positive,xx
231,x,b,x,o,x,b,x,o,o,positive,xo
232,x,b,x,o,x,b,o,o,x,positive,xx
233,x,b,x,o,o,x,o,b,x,positive,xx
234,x,b,x,o,o,x,b,o,x,positive,xx
235,x,b,x,o,b,x,o,o,x,positive,xx
236,x,b,x,b,x,o,x,o,o,positive,xo
237,x,b,x,b,x,o,o,o,x,positive,xx
238,x,b,x,b,o,x,o,o,x,positive,xx
239,x,b,o,x,x,x,o,o,b,positive,xb
240,x,b,o,x,x,x,o,b,o,positive,xo
241,x,b,o,x,x,x,b,o,o,positive,xo
242,x,b,o,x,x,o,x,o,b,positive,xb
243,x,b,o,x,x,o,o,b,x,positive,xx
244,x,b,o,x,x,o,b,o,x,positive,xx
245,x,b,o,x,x,b,x,o,o,positive,xo
246,x,b,o,x,x,b,o,o,x,positive,xx
247,x,b,o,x,o,x,x,o,b,positive,xb
248,x,b,o,x,o,x,x,b,o,positive,xo
249,x,b,o,x,o,o,x,x,b,positive,xb
250,x,b,o,x,o,o,x,b,x,positive,xx
251,x,b,o,x,o,b,x,x,o,positive,xo
252,x,b,o,x,o,b,x,o,x,positive,xx
253,x,b,o,x,o,b,x,b,b,positive,xb
254,x,b,o,x,b,x,x,o,o,positive,xo
255,x,b,o,x,b,o,x,o,x,positive,xx
256,x,b,o,x,b,o,x,b,b,positive,xb
257,x,b,o,x,b,b,x,o,b,positive,xb
258,x,b,o,x,b,b,x,b,o,positive,xo
259,x,b,o,o,x,x,o,b,x,positive,xx
260,x,b,o,o,x,x,b,o,x,positive,xx
261,x,b,o,o,x,o,x,b,x,positive,xx
262,x,b,o,o,x,o,b,x,x,positive,xx
263,x,b,o,o,x,b,x,o,x,positive,xx
264,x,b,o,o,x,b,o,x,x,positive,xx
265,x,b,o,o,x,b,b,b,x,positive,xx
266,x,b,o,o,o,b,x,x,x,positive,xx
267,x,b,o,o,b,o,x,x,x,positive,xx
268,x,b,o,b,x,x,o,o,x,positive,xx
269,x,b,o,b,x,o,x,o,x,positive,xx
270,x,b,o,b,x,o,o,x,x,positive,xx
271,x,b,o,b,x,o,b,b,x,positive,xx
272,x,b,o,b,x,b,o,b,x,positive,xx
273,x,b,o,b,x,b,b,o,x,positive,xx
274,x,b,o,b,o,o,x,x,x,positive,xx
275,x,b,b,x,x,o,x,o,o,positive,xo
276,x,b,b,x,x,o,o,o,x,positive,xx
277,x,b,b,x,o,x,x,o,o,positive,xo
278,x,b,b,x,o,o,x,x,o,positive,xo
279,x,b,b,x,o,o,x,o,x,positive,xx
280,x,b,b,x,o,o,x,b,b,positive,xb
281,x,b,b,x,o,b,x,o,b,positive,xb
282,x,b,b,x,o,b,x,b,o,positive,xo
283,x,b,b,x,b,o,x,o,b,positive,xb
284,x,b,b,x,b,o,x,b,o,positive,xo
285,x,b,b,x,b,b,x,o,o,positive,xo
286,x,b,b,o,x,x,o,o,x,positive,xx
287,x,b,b,o,x,o,x,o,x,positive,xx
288,x,b,b,o,x,o,o,x,x,positive,xx
289,x,b,b,o,x,o,b,b,x,positive,xx
290,x,b,b,o,x,b,o,b,x,positive,xx
291,x,b,b,o,x,b,b,o,x,positive,xx
292,x,b,b,b,x,o,o,b,x,positive,xx
293,x,b,b,b,x,o,b,o,x,positive,xx
294,x,b,b,b,x,b,o,o,x,positive,xx
295,o,x,x,x,x,o,x,o,o,positive,oo
296,o,x,x,x,x,o,o,x,o,positive,oo
297,o,x,x,x,o,x,o,o,x,positive,ox
298,o,x,x,o,x,x,x,o,o,positive,oo
299,o,x,x,o,x,o,x,x,o,positive,oo
300,o,x,x,o,x,o,x,o,x,positive,ox
301,o,x,x,o,x,o,x,b,b,positive,ob
302,o,x,x,o,x,o,b,x,b,positive,ob
303,o,x,x,o,x,b,x,o,b,positive,ob
304,o,x,x,o,x,b,x,b,o,positive,oo
305,o,x,x,o,x,b,b,x,o,positive,oo
306,o,x,x,o,o,x,x,o,x,positive,ox
307,o,x,x,o,o,x,b,b,x,positive,ox
308,o,x,x,o,b,x,b,o,x,positive,ox
309,o,x,x,b,x,o,x,o,b,positive,ob
310,o,x,x,b,x,o,x,b,o,positive,oo
311,o,x,x,b,x,o,o,x,b,positive,ob
312,o,x,x,b,x,o,b,x,o,positive,oo
313,o,x,x,b,x,b,x,o,o,positive,oo
314,o,x,x,b,x,b,o,x,o,positive,oo
315,o,x,x,b,o,x,o,b,x,positive,ox
316,o,x,x,b,o,x,b,o,x,positive,ox
317,o,x,x,b,b,x,o,o,x,positive,ox
318,o,x,o,x,x,x,x,o,o,positive,oo
319,o,x,o,x,x,x,o,x,o,positive,oo
320,o,x,o,x,x,x,o,o,x,positive,ox
321,o,x,o,x,x,x,o,b,b,positive,ob
322,o,x,o,x,x,x,b,o,b,positive,ob
323,o,x,o,x,x,x,b,b,o,positive,oo
324,o,x,o,x,x,o,o,x,x,positive,ox
325,o,x,o,x,x,o,b,x,b,positive,ob
326,o,x,o,x,x,b,o,x,b,positive,ob
327,o,x,o,x,x,b,b,x,o,positive,oo
328,o,x,o,x,o,o,x,x,x,positive,ox
329,o,x,o,o,x,x,x,x,o,positive,oo
330,o,x,o,o,x,x,b,x,b,positive,ob
331,o,x,o,o,x,o,x,x,x,positive,ox
332,o,x,o,o,x,b,x,x,b,positive,ob
333,o,x,o,o,x,b,b,x,x,positive,ox
334,o,x,o,o,o,x,x,x,x,positive,ox
335,o,x,o,o,b,b,x,x,x,positive,ox
336,o,x,o,b,x,x,o,x,b,positive,ob
337,o,x,o,b,x,x,b,x,o,positive,oo
338,o,x,o,b,x,o,x,x,b,positive,ob
339,o,x,o,b,x,o,b,x,x,positive,ox
340,o,x,o,b,x,b,x,x,o,positive,oo
341,o,x,o,b,x,b,o,x,x,positive,ox
342,o,x,o,b,x,b,b,x,b,positive,ob
343,o,x,o,b,o,b,x,x,x,positive,ox
344,o,x,o,b,b,o,x,x,x,positive,ox
345,o,x,b,x,x,x,o,o,b,positive,ob
346,o,x,b,x,x,x,o,b,o,positive,oo
347,o,x,b,x,x,x,b,o,o,positive,oo
348,o,x,b,x,x,o,o,x,b,positive,ob
349,o,x,b,x,x,o,b,x,o,positive,oo
350,o,x,b,x,x,b,o,x,o,positive,oo
351,o,x,b,o,x,x,b,x,o,positive,oo
352,o,x,b,o,x,o,x,x,b,positive,ob
353,o,x,b,o,x,o,b,x,x,positive,ox
354,o,x,b,o,x,b,x,x,o,positive,oo
355,o,x,b,o,x,b,b,x,b,positive,ob
356,o,x,b,o,o,b,x,x,x,positive,ox
357,o,x,b,o,b,o,x,x,x,positive,ox
358,o,x,b,b,x,x,o,x,o,positive,oo
359,o,x,b,b,x,o,x,x,o,positive,oo
360,o,x,b,b,x,o,o,x,x,positive,ox
361,o,x,b,b,x,o,b,x,b,positive,ob
362,o,x,b,b,x,b,o,x,b,positive,ob
363,o,x,b,b,x,b,b,x,o,positive,oo
364,o,x,b,b,o,o,x,x,x,positive,ox
365,o,o,x,x,x,x,x,o,o,positive,oo
366,o,o,x,x,x,x,o,x,o,positive,oo
367,o,o,x,x,x,x,o,o,x,positive,ox
368,o,o,x,x,x,x,o,b,b,positive,ob
369,o,o,x,x,x,x,b,o,b,positive,ob
370,o,o,x,x,x,x,b,b,o,positive,oo
371,o,o,x,x,x,o,x,x,o,positive,oo
372,o,o,x,x,x,o,x,o,x,positive,ox
373,o,o,x,x,x,o,x,b,b,positive,ob
374,o,o,x,x,x,b,x,o,b,positive,ob
375,o,o,x,x,x,b,x,b,o,positive,oo
376,o,o,x,x,o,x,o,x,x,positive,ox
377,o,o,x,x,o,x,b,b,x,positive,ox
378,o,o,x,x,o,o,x,x,x,positive,ox
379,o,o,x,x,b,x,o,b,x,positive,ox
380,o,o,x,x,b,x,b,o,x,positive,ox
381,o,o,x,o,x,x,x,x,o,positive,oo
382,o,o,x,o,x,x,x,o,x,positive,ox
383,o,o,x,o,x,x,x,b,b,positive,ob
384,o,o,x,o,x,x,b,b,x,positive,ox
385,o,o,x,o,x,o,x,x,x,positive,ox
386,o,o,x,o,x,b,x,x,b,positive,ob
387,o,o,x,o,x,b,x,b,x,positive,ox
388,o,o,x,o,o,x,x,x,x,positive,ox
389,o,o,x,o,b,x,x,b,x,positive,ox
390,o,o,x,o,b,x,b,x,x,positive,ox
391,o,o,x,o,b,b,x,x,x,positive,ox
392,o,o,x,b,x,x,x,o,b,positive,ob
393,o,o,x,b,x,x,x,b,o,positive,oo
394,o,o,x,b,x,x,o,b,x,positive,ox
395,o,o,x,b,x,x,b,o,x,positive,ox
396,o,o,x,b,x,o,x,x,b,positive,ob
397,o,o,x,b,x,o,x,b,x,positive,ox
398,o,o,x,b,x,b,x,x,o,positive,oo
399,o,o,x,b,x,b,x,o,x,positive,ox
400,o,o,x,b,x,b,x,b,b,positive,ob
401,o,o,x,b,o,x,x,b,x,positive,ox
402,o,o,x,b,o,x,b,x,x,positive,ox
403,o,o,x,b,o,b,x,x,x,positive,ox
404,o,o,x,b,b,x,x,o,x,positive,ox
405,o,o,x,b,b,x,o,x,x,positive,ox
406,o,o,x,b,b,x,b,b,x,positive,ox
407,o,o,x,b,b,o,x,x,x,positive,ox
408,o,o,b,x,x,x,x,o,b,positive,ob
409,o,o,b,x,x,x,x,b,o,positive,oo
410,o,o,b,x,x,x,o,x,b,positive,ob
411,o,o,b,x,x,x,o,b,x,positive,ox
412,o,o,b,x,x,x,b,x,o,positive,oo
413,o,o,b,x,x,x,b,o,x,positive,ox
414,o,o,b,x,x,x,b,b,b,positive,ob
415,o,o,b,x,o,b,x,x,x,positive,ox
416,o,o,b,x,b,o,x,x,x,positive,ox
417,o,o,b,o,x,b,x,x,x,positive,ox
418,o,o,b,o,b,x,x,x,x,positive,ox
419,o,o,b,b,x,o,x,x,x,positive,ox
420,o,o,b,b,o,x,x,x,x,positive,ox
421,o,o,b,b,b,b,x,x,x,positive,ox
422,o,b,x,x,x,x,o,o,b,positive,ob
423,o,b,x,x,x,x,o,b,o,positive,oo
424,o,b,x,x,x,x,b,o,o,positive,oo
425,o,b,x,x,x,o,x,o,b,positive,ob
426,o,b,x,x,x,o,x,b,o,positive,oo
427,o,b,x,x,x,b,x,o,o,positive,oo
428,o,b,x,x,o,x,o,b,x,positive,ox
429,o,b,x,x,o,x,b,o,x,positive,ox
430,o,b,x,x,b,x,o,o,x,positive,ox
431,o,b,x,o,x,x,x,o,b,positive,ob
432,o,b,x,o,x,x,x,b,o,positive,oo
433,o,b,x,o,x,x,b,o,x,positive,ox
434,o,b,x,o,x,o,x,x,b,positive,ob
435,o,b,x,o,x,o,x,b,x,positive,ox
436,o,b,x,o,x,b,x,x,o,positive,oo
437,o,b,x,o,x,b,x,o,x,positive,ox
438,o,b,x,o,x,b,x,b,b,positive,ob
439,o,b,x,o,o,x,x,b,x,positive,ox
440,o,b,x,o,o,x,b,x,x,positive,ox
441,o,b,x,o,o,b,x,x,x,positive,ox
442,o,b,x,o,b,x,x,o,x,positive,ox
443,o,b,x,o,b,x,b,b,x,positive,ox
444,o,b,x,o,b,o,x,x,x,positive,ox
445,o,b,x,b,x,x,x,o,o,positive,oo
446,o,b,x,b,x,x,o,o,x,positive,ox
447,o,b,x,b,x,o,x,x,o,positive,oo
448,o,b,x,b,x,o,x,o,x,positive,ox
449,o,b,x,b,x,o,x,b,b,positive,ob
450,o,b,x,b,x,b,x,o,b,positive,ob
451,o,b,x,b,x,b,x,b,o,positive,oo
452,o,b,x,b,o,x,x,o,x,positive,ox
453,o,b,x,b,o,x,o,x,x,positive,ox
454,o,b,x,b,o,x,b,b,x,positive,ox
455,o,b,x,b,o,o,x,x,x,positive,ox
456,o,b,x,b,b,x,o,b,x,positive,ox
457,o,b,x,b,b,x,b,o,x,positive,ox
458,o,b,o,x,x,x,x,o,b,positive,ob
459,o,b,o,x,x,x,x,b,o,positive,oo
460,o,b,o,x,x,x,o,x,b,positive,ob
461,o,b,o,x,x,x,o,b,x,positive,ox
462,o,b,o,x,x,x,b,x,o,positive,oo
463,o,b,o,x,x,x,b,o,x,positive,ox
464,o,b,o,x,x,x,b,b,b,positive,ob
465,o,b,o,x,o,b,x,x,x,positive,ox
466,o,b,o,x,b,o,x,x,x,positive,ox
467,o,b,o,o,x,b,x,x,x,positive,ox
468,o,b,o,o,b,x,x,x,x,positive,ox
469,o,b,o,b,x,o,x,x,x,positive,ox
470,o,b,o,b,o,x,x,x,x,positive,ox
471,o,b,o,b,b,b,x,x,x,positive,ox
472,o,b,b,x,x,x,x,o,o,positive,oo
473,o,b,b,x,x,x,o,x,o,positive,oo
474,o,b,b,x,x,x,o,o,x,positive,ox
475,o,b,b,x,x,x,o,b,b,positive,ob
476,o,b,b,x,x,x,b,o,b,positive,ob
477,o,b,b,x,x,x,b,b,o,positive,oo
478,o,b,b,x,o,o,x,x,x,positive,ox
479,o,b,b,o,x,o,x,x,x,positive,ox
480,o,b,b,o,o,x,x,x,x,positive,ox
481,o,b,b,o,b,b,x,x,x,positive,ox
482,o,b,b,b,o,b,x,x,x,positive,ox
483,o,b,b,b,b,o,x,x,x,positive,ox
484,b,x,x,o,x,o,x,o,b,positive,bb
485,b,x,x,o,x,o,x,b,o,positive,bo
486,b,x,x,o,x,o,o,x,b,positive,bb
487,b,x,x,o,x,o,b,x,o,positive,bo
488,b,x,x,o,x,b,x,o,o,positive,bo
489,b,x,x,o,x,b,o,x,o,positive,bo
490,b,x,x,o,o,x,o,b,x,positive,bx
491,b,x,x,o,o,x,b,o,x,positive,bx
492,b,x,x,o,b,x,o,o,x,positive,bx
493,b,x,x,b,x,o,x,o,o,positive,bo
494,b,x,x,b,x,o,o,x,o,positive,bo
495,b,x,x,b,o,x,o,o,x,positive,bx
496,b,x,o,x,x,x,o,o,b,positive,bb
497,b,x,o,x,x,x,o,b,o,positive,bo
498,b,x,o,x,x,x,b,o,o,positive,bo
499,b,x,o,x,x,o,o,x,b,positive,bb
500,b,x,o,x,x,b,o,x,o,positive,bo
501,b,x,o,o,x,x,o,x,b,positive,bb
502,b,x,o,o,x,x,b,x,o,positive,bo
503,b,x,o,o,x,o,x,x,b,positive,bb
504,b,x,o,o,x,o,b,x,x,positive,bx
505,b,x,o,o,x,b,x,x,o,positive,bo
506,b,x,o,o,x,b,o,x,x,positive,bx
507,b,x,o,o,x,b,b,x,b,positive,bb
508,b,x,o,o,o,b,x,x,x,positive,bx
509,b,x,o,o,b,o,x,x,x,positive,bx
510,b,x,o,b,x,x,o,x,o,positive,bo
511,b,x,o,b,x,o,o,x,x,positive,bx
512,b,x,o,b,x,o,b,x,b,positive,bb
513,b,x,o,b,x,b,o,x,b,positive,bb
514,b,x,o,b,x,b,b,x,o,positive,bo
515,b,x,o,b,o,o,x,x,x,positive,bx
516,b,x,b,x,x,o,o,x,o,positive,bo
517,b,x,b,o,x,x,o,x,o,positive,bo
518,b,x,b,o,x,o,x,x,o,positive,bo
519,b,x,b,o,x,o,o,x,x,positive,bx
520,b,x,b,o,x,o,b,x,b,positive,bb
521,b,x,b,o,x,b,o,x,b,positive,bb
522,b,x,b,o,x,b,b,x,o,positive,bo
523,b,x,b,b,x,o,o,x,b,positive,bb
524,b,x,b,b,x,o,b,x,o,positive,bo
525,b,x,b,b,x,b,o,x,o,positive,bo
526,b,o,x,x,x,x,o,o,b,positive,bb
527,b,o,x,x,x,x,o,b,o,positive,bo
528,b,o,x,x,x,x,b,o,o,positive,bo
529,b,o,x,x,x,o,x,o,b,positive,bb
530,b,o,x,x,x,o,x,b,o,positive,bo
531,b,o,x,x,x,b,x,o,o,positive,bo
532,b,o,x,x,o,x,o,b,x,positive,bx
533,b,o,x,x,b,x,o,o,x,positive,bx
534,b,o,x,o,x,x,x,o,b,positive,bb
